Package,Version,core
Azimuth,0.5.0,TRUE
Banksy,1.4.0,TRUE
CellChat,2.2.0.9001,TRUE
ComplexHeatmap,2.24.1,TRUE
DESeq2,1.48.2,TRUE
MAST,1.33.0,TRUE
Matrix,1.7-3,TRUE
Seurat,5.0.1.9001,TRUE
SeuratObject,5.1.0,TRUE
SpatialExperiment,1.18.1,TRUE
apeglm,1.30.0,TRUE
circlize,0.4.16,TRUE
data.table,1.17.8,TRUE
decoupleR,2.14.0,TRUE
fgsea,1.34.2,TRUE
ggh4x,0.3.1,TRUE
ggplot2,4.0.0,TRUE
ggrepel,0.9.6,TRUE
glmGamPoi,1.20.0,TRUE
harmony,1.2.3,TRUE
monocle3,1.4.27,TRUE
msigdbr,26.1.0,TRUE
officer,0.7.5,TRUE
openxlsx,4.2.8,TRUE
patchwork,1.3.2,TRUE
scDblFinder,1.22.0,TRUE
sctransform,0.4.2,TRUE
xml2,1.3.8,TRUE
AUCell,1.30.1,FALSE
AnnotationDbi,1.70.0,FALSE
AnnotationFilter,1.32.0,FALSE
AnnotationHub,3.16.1,FALSE
BH,1.87.0-1,FALSE
BPCells,0.3.1,FALSE
BSgenome,1.76.0,FALSE
BSgenome.Hsapiens.UCSC.hg38,1.4.5,FALSE
BWStest,0.2.3,FALSE
BayesFactor,0.9.12-4.7,FALSE
Biobase,2.68.0,FALSE
BiocFileCache,2.16.1,FALSE
BiocGenerics,0.54.1,FALSE
BiocIO,1.18.0,FALSE
BiocManager,1.30.26,FALSE
BiocNeighbors,2.2.0,FALSE
BiocParallel,1.42.1,FALSE
BiocSingular,1.24.0,FALSE
BiocVersion,3.21.1,FALSE
Biostrings,2.76.0,FALSE
Cairo,1.6-2,FALSE
CompQuadForm,1.4.4,FALSE
ComplexUpset,1.3.3,FALSE
DBI,1.2.3,FALSE
DEXSeq,1.54.1,FALSE
DT,0.33,FALSE
DelayedArray,0.34.1,FALSE
DelayedMatrixStats,1.30.0,FALSE
Deriv,4.2.0,FALSE
DirichletMultinomial,1.50.0,FALSE
EDASeq,2.42.0,FALSE
EnhancedVolcano,1.26.0,FALSE
EnsDb.Hsapiens.v86,2.99.0,FALSE
EnvStats,3.1.0,FALSE
ExperimentHub,2.16.1,FALSE
FNN,1.1.4.1,FALSE
Formula,1.2-5,FALSE
GENIE3,1.30.0,FALSE
GEOquery,2.76.0,FALSE
GGally,2.4.0,FALSE
GPArotation,2025.3-1,FALSE
GSEABase,1.70.1,FALSE
GenSA,1.1.15,FALSE
GenomeInfoDb,1.44.1,FALSE
GenomeInfoDbData,1.2.14,FALSE
GenomicAlignments,1.44.0,FALSE
GenomicFeatures,1.60.0,FALSE
GenomicRanges,1.60.0,FALSE
GeomxTools,3.12.1,FALSE
GetoptLong,1.0.5,FALSE
GlobalOptions,0.1.2,FALSE
HDF5Array,1.36.0,FALSE
Hmisc,5.2-4,FALSE
IRanges,2.42.0,FALSE
ISOcodes,2026.03.28,FALSE
JASPAR2020,0.99.10,FALSE
KEGGREST,1.48.1,FALSE
KernSmooth,2.23-26,FALSE
MASS,7.3-65,FALSE
MCMCprecision,0.4.2,FALSE
MatrixGenerics,1.20.0,FALSE
MatrixModels,0.5-4,FALSE
NLP,0.3-3,FALSE
NMF,0.28,FALSE
NanoStringNCTools,1.16.2,FALSE
OmnipathR,3.16.2,FALSE
PMCMRplus,1.9.12,FALSE
Polychrome,1.5.4,FALSE
ProtGenerics,1.40.0,FALSE
R.cache,0.17.0,FALSE
R.methodsS3,1.8.2,FALSE
R.oo,1.27.1,FALSE
R.utils,2.13.0,FALSE
R6,2.6.1,FALSE
RANN,2.6.2,FALSE
RColorBrewer,1.1-3,FALSE
RCurl,1.98-1.17,FALSE
ROCR,1.0-11,FALSE
RSQLite,2.4.2,FALSE
RSpectra,0.16-2,FALSE
RUVSeq,1.42.0,FALSE
RcisTarget,1.28.1,FALSE
Rcpp,1.1.0,FALSE
RcppAnnoy,0.0.22,FALSE
RcppArmadillo,14.6.0-1,FALSE
RcppEigen,0.3.4.0.2,FALSE
RcppHNSW,0.6.0,FALSE
RcppHungarian,0.3,FALSE
RcppML,0.3.7.1,FALSE
RcppNumerical,0.7-0,FALSE
RcppParallel,5.1.11-1,FALSE
RcppProgress,0.4.2,FALSE
RcppRoll,0.3.1,FALSE
RcppTOML,0.2.3,FALSE
Rdpack,2.6.4,FALSE
ResidualMatrix,1.18.0,FALSE
Rfast,2.1.5.2,FALSE
Rhdf5lib,1.30.0,FALSE
RhpcBLASctl,0.23-42,FALSE
Rhtslib,3.4.0,FALSE
Rmpfr,1.1-1,FALSE
Rsamtools,2.24.0,FALSE
Rtsne,0.17,FALSE
S4Arrays,1.8.1,FALSE
S4Vectors,0.48.1,FALSE
S7,0.2.0,FALSE
SCENIC,1.3.1,FALSE
ScaledMatrix,1.16.0,FALSE
Seqinfo,1.0.0,FALSE
SeuratData,0.2.2.9002,FALSE
SeuratDisk,0.0.0.9021,FALSE
SeuratWrappers,0.4.0,FALSE
ShortRead,1.66.0,FALSE
Signac,1.14.0,FALSE
SingleCellExperiment,1.30.1,FALSE
SnowballC,0.7.1,FALSE
SparseArray,1.8.1,FALSE
SparseM,1.84-2,FALSE
SpatialDecon,1.18.0,FALSE
SummarizedExperiment,1.38.1,FALSE
SuppDists,1.1-9.9,FALSE
TFBSTools,1.46.0,FALSE
TFMPvalue,0.0.9,FALSE
TSP,1.2.7,FALSE
UCSC.utils,1.4.0,FALSE
UCell,2.12.0,FALSE
UpSetR,1.4.0,FALSE
V8,8.0.1,FALSE
WRS2,1.1-7,FALSE
WriteXLS,6.8.0,FALSE
XML,3.99-0.18,FALSE
XVector,0.48.0,FALSE
abind,1.4-8,FALSE
admisc,0.40,FALSE
afex,1.5-0,FALSE
annotables,0.2.0,FALSE
annotate,1.86.1,FALSE
aod,1.3.3,FALSE
aplot,0.2.9,FALSE
aricode,1.1.0,FALSE
aroma.light,3.38.0,FALSE
arrow,24.0.0,FALSE
askpass,1.2.1,FALSE
assertthat,0.2.1,FALSE
assorthead,1.2.0,FALSE
attempt,0.3.1,FALSE
babelgene,22.9,FALSE
backports,1.5.0,FALSE
base,4.5.1,FALSE
base64enc,0.1-3,FALSE
batchelor,1.24.0,FALSE
bayestestR,0.17.0,FALSE
bbmle,1.0.25.1,FALSE
bdsmatrix,1.3-7,FALSE
beachmat,2.24.0,FALSE
beeswarm,0.4.0,FALSE
benchmarkme,1.0.8,FALSE
benchmarkmeData,2.0.0,FALSE
bigD,0.3.1,FALSE
biglm,0.9-3,FALSE
biomaRt,2.64.0,FALSE
bit,4.6.0,FALSE
bit64,4.6.0-1,FALSE
bitops,1.0-9,FALSE
blob,1.2.4,FALSE
bluster,1.18.0,FALSE
boot,1.3-31,FALSE
brew,1.0-10,FALSE
brio,1.1.5,FALSE
broom,1.0.9,FALSE
bslib,0.9.0,FALSE
ca,0.71.1,FALSE
caTools,1.18.3,FALSE
cachem,1.1.0,FALSE
callr,3.7.6,FALSE
car,3.1-3,FALSE
carData,3.0-5,FALSE
celda,1.24.0,FALSE
cellranger,1.1.0,FALSE
checkmate,2.3.3,FALSE
class,7.3-23,FALSE
classInt,0.4-11,FALSE
cli,3.6.5,FALSE
clipr,0.8.0,FALSE
clue,0.3-66,FALSE
cluster,2.1.8.1,FALSE
coda,0.19-4.1,FALSE
codetools,0.2-20,FALSE
collapse,2.1.7,FALSE
colorspace,2.1-1,FALSE
combinat,0.0-8,FALSE
commonmark,2.0.0,FALSE
compiler,4.5.1,FALSE
concaveman,1.2.0,FALSE
config,0.3.2,FALSE
conflicted,1.2.0,FALSE
contfrac,1.1-12,FALSE
corpcor,1.6.10,FALSE
correlation,0.8.8,FALSE
corrplot,0.95,FALSE
corrr,0.4.5,FALSE
cowplot,1.2.0,FALSE
cpp11,0.5.2,FALSE
crayon,1.5.3,FALSE
credentials,2.0.2,FALSE
crosstalk,1.2.1,FALSE
curl,6.4.0,FALSE
datasets,4.5.1,FALSE
datawizard,1.3.0,FALSE
dbplyr,2.5.0,FALSE
dbscan,1.2.4,FALSE
deSolve,1.40,FALSE
deldir,2.0-4,FALSE
dendextend,1.19.1,FALSE
desc,1.4.3,FALSE
devtools,2.4.5,FALSE
dichromat,2.0-0.1,FALSE
diffobj,0.3.6,FALSE
digest,0.6.37,FALSE
diptest,0.77-2,FALSE
distributional,0.7.0,FALSE
dittoSeq,1.20.1,FALSE
doBy,4.7.0,FALSE
doParallel,1.0.17,FALSE
doRNG,1.8.6.3,FALSE
dotCall64,1.2,FALSE
downlit,0.4.4,FALSE
dplyr,1.1.4,FALSE
dqrng,0.4.1,FALSE
dtplyr,1.3.1,FALSE
dtt,0.1-2.1,FALSE
dunn.test,1.4.0,FALSE
dynamicTreeCut,1.63-1,FALSE
e1071,1.7-17,FALSE
edgeR,4.6.3,FALSE
effectsize,1.0.1,FALSE
ellipsis,0.3.2,FALSE
elliptic,1.5-0,FALSE
emdbook,1.3.14,FALSE
english,1.2-6,FALSE
enrichR,3.4,FALSE
ensembldb,2.32.0,FALSE
eulerr,7.0.4,FALSE
evaluate,1.0.4,FALSE
fANCOVA,0.6-1,FALSE
fansi,1.0.6,FALSE
farver,2.1.2,FALSE
fastDummies,1.7.5,FALSE
fastmap,1.2.0,FALSE
fastmatch,1.1-6,FALSE
fields,17.3,FALSE
filelock,1.0.3,FALSE
fitdistrplus,1.2-4,FALSE
fontBitstreamVera,0.1.1,FALSE
fontLiberation,0.1.0,FALSE
fontawesome,0.5.3,FALSE
fontquiver,0.2.1,FALSE
forcats,1.0.0,FALSE
foreach,1.5.2,FALSE
forecast,9.0.2,FALSE
foreign,0.8-90,FALSE
formatR,1.14,FALSE
fracdiff,1.5-3,FALSE
fs,1.6.6,FALSE
furrr,0.4.0,FALSE
futile.logger,1.4.3,FALSE
futile.options,1.0.1,FALSE
future,1.70.0,FALSE
future.apply,1.20.0,FALSE
gargle,1.5.2,FALSE
gclus,1.3.3,FALSE
gdtools,0.5.1,FALSE
genefilter,1.90.0,FALSE
geneplotter,1.86.0,FALSE
generics,0.1.4,FALSE
gert,2.1.5,FALSE
ggVennDiagram,1.5.7,FALSE
ggalluvial,0.12.6,FALSE
ggbeeswarm,0.7.2,FALSE
ggcorrplot,0.1.4.1,FALSE
ggdendro,0.2.0,FALSE
ggdist,3.3.3,FALSE
ggforce,0.5.0,FALSE
ggfun,0.2.0,FALSE
ggiraph,0.9.6,FALSE
ggnetwork,0.5.14,FALSE
ggplotify,0.1.3,FALSE
ggprism,1.0.6,FALSE
ggpubr,0.6.3,FALSE
ggraph,2.2.2.9000,FALSE
ggrastr,1.0.2,FALSE
ggridges,0.5.6,FALSE
ggsci,5.0.0,FALSE
ggside,0.4.0,FALSE
ggsignif,0.6.4,FALSE
ggstats,0.13.0,FALSE
ggstatsplot,0.13.3,FALSE
ggtext,0.1.2,FALSE
ggthemes,6.0.0,FALSE
ggvenn,0.1.19,FALSE
ggwordcloud,0.6.2,FALSE
gh,1.5.0,FALSE
gitcreds,0.1.2,FALSE
glmnet,5.0,FALSE
globals,0.19.1,FALSE
glue,1.8.0,FALSE
gmp,0.7-5,FALSE
goftest,1.2-3,FALSE
golem,0.5.1,FALSE
googledrive,2.1.1,FALSE
googlesheets4,1.1.1,FALSE
gplots,3.2.0,FALSE
grDevices,4.5.1,FALSE
graph,1.86.0,FALSE
graphics,4.5.1,FALSE
graphlayouts,1.2.2,FALSE
grid,4.5.1,FALSE
gridBase,0.4-7,FALSE
gridExtra,2.3,FALSE
gridGraphics,0.5-1,FALSE
gridtext,0.1.6,FALSE
gt,1.3.0,FALSE
gtable,0.3.6,FALSE
gtools,3.9.5,FALSE
h5mread,1.0.1,FALSE
haven,2.5.5,FALSE
hdf5r,1.3.12,FALSE
here,1.0.1,FALSE
hexbin,1.28.5,FALSE
highr,0.11,FALSE
hms,1.1.3,FALSE
htmlTable,2.4.3,FALSE
htmltools,0.5.8.1,FALSE
htmlwidgets,1.6.4,FALSE
httpuv,1.6.16,FALSE
httr,1.4.7,FALSE
httr2,1.2.1,FALSE
humancortexref.SeuratData,1.0.0,FALSE
hunspell,3.0.6,FALSE
hwriter,1.3.2.1,FALSE
hypergeo,1.2-14,FALSE
ica,1.0-3,FALSE
ids,1.0.1,FALSE
igraph,2.1.4,FALSE
ini,0.3.1,FALSE
insight,1.4.2,FALSE
interp,1.1-6,FALSE
irlba,2.3.5.1,FALSE
isoband,0.2.7,FALSE
iterators,1.0.14,FALSE
janitor,2.2.1,FALSE
jpeg,0.1-11,FALSE
jquerylib,0.1.4,FALSE
jsonlite,2.0.0,FALSE
juicyjuice,0.1.0,FALSE
kSamples,1.2-12,FALSE
kernlab,0.9-33,FALSE
knitr,1.50,FALSE
koRpus,0.13-9,FALSE
koRpus.lang.en,0.1-4,FALSE
labeling,0.4.3,FALSE
lambda.r,1.2.4,FALSE
later,1.4.2,FALSE
lattice,0.22-7,FALSE
latticeExtra,0.6-31,FALSE
lazyeval,0.2.2,FALSE
leiden,0.4.3.1,FALSE
leidenAlg,1.1.8,FALSE
leidenbase,0.1.35,FALSE
lexicon,1.3.2,FALSE
lifecycle,1.0.4,FALSE
limma,3.64.3,FALSE
listenv,0.9.1,FALSE
litedown,0.9,FALSE
lme4,1.1-37,FALSE
lmerTest,3.1-3,FALSE
lmtest,0.9-40,FALSE
locfdr,1.1-8,FALSE
locfit,1.5-9.12,FALSE
logNormReg,0.5-0,FALSE
logger,0.4.2,FALSE
lubridate,1.9.4,FALSE
magick,2.9.1,FALSE
magrittr,2.0.4,FALSE
mapproj,1.2.12,FALSE
maps,3.4.3,FALSE
markdown,2.0,FALSE
mathjaxr,2.0-0,FALSE
matrixStats,1.5.0,FALSE
mclust,6.1.2,FALSE
mclustcomp,0.3.5,FALSE
mcprogress,0.1.1,FALSE
memoise,2.0.1,FALSE
metadat,1.6-0,FALSE
metafor,5.0-1,FALSE
metapod,1.16.0,FALSE
methods,4.5.1,FALSE
mgcv,1.9-3,FALSE
mgsub,2.0.0,FALSE
microbenchmark,1.5.0,FALSE
miloR,2.4.1,FALSE
mime,0.13,FALSE
miniUI,0.1.2,FALSE
minqa,1.2.8,FALSE
mixtools,2.0.0.1,FALSE
mnormt,2.1.1,FALSE
modelr,0.1.11,FALSE
mousecortexref.SeuratData,1.0.0,FALSE
msigdb,1.16.0,FALSE
multcompView,0.1-10,FALSE
