source,target,mode_of_regulation,weight
ADA2,AAK1,1,1
ADA2,AAR2,1,1
ADA2,ABCB9,1,1
ADA2,ABHD13,1,1
ADA2,ABRAXAS1,1,1
ADA2,ACAD11,1,1
ADA2,ACBD6,1,1
ADA2,ACOT13,1,1
ADA2,ACP2,1,1
ADA2,ACSF3,1,1
ADA2,ADAP1,1,1
ADA2,ADAP2,1,1
ADA2,ADAT2,1,1
ADA2,ADGRA2,1,1
ADA2,ADPRHL1,1,1
ADA2,AFG2B,1,1
ADA2,AGK,1,1
ADA2,AGK-DT,1,1
ADA2,AGO3,1,1
ADA2,AIFM2,1,1
ADA2,AKR1B1,1,1
ADA2,ALG10,1,1
ADA2,ALG10B,1,1
ADA2,ALG3,1,1
ADA2,ALKBH3,1,1
ADA2,AMDHD1,1,1
ADA2,AMDHD2,1,1
ADA2,AMOTL1,1,1
ADA2,ANAPC5,1,1
ADA2,ANAPC7,1,1
ADA2,ANKRD40,1,1
ADA2,ANTKMT,1,1
ADA2,ANXA2,1,1
ADA2,ANXA4,1,1
ADA2,AP1G1,1,1
ADA2,AP3S2,1,1
ADA2,AP4B1-AS1,1,1
ADA2,AP4M1,1,1
ADA2,AP5Z1,1,1
ADA2,APBA3,1,1
ADA2,APEX1,1,1
ADA2,AQR,1,1
ADA2,ARHGAP1,1,1
ADA2,ARL6IP4,1,1
ADA2,ARMC7,1,1
ADA2,ARMH3,1,1
ADA2,ARPC5L,1,1
ADA2,ATG5,1,1
ADA2,ATL2,1,1
ADA2,ATP13A4,1,1
ADA2,ATP5PF,1,1
ADA2,ATP6V1G2,1,1
ADA2,ATP6V1G2-DDX39B,1,1
ADA2,ATPAF1,1,1
ADA2,ATR,1,1
ADA2,AURKAIP1,1,1
ADA2,B3GALT9,1,1
ADA2,B4GALT7,1,1
ADA2,BANF1,1,1
ADA2,BANP,1,1
ADA2,BASP1,1,1
ADA2,BASP1-AS1,1,1
ADA2,BAZ2A,1,1
ADA2,BBS1,1,1
ADA2,BBS10,1,1
ADA2,BCAT2,1,1
ADA2,BCL11A,1,1
ADA2,BCL6,1,1
ADA2,BCL9,1,1
ADA2,BCL9L,1,1
ADA2,BLOC1S6,1,1
ADA2,BMS1,1,1
ADA2,BMS1P1,1,1
ADA2,BMS1P4,1,1
ADA2,BMS1P4-AGAP5,1,1
ADA2,BORCS8,1,1
ADA2,BORCS8-MEF2B,1,1
ADA2,BRD2,1,1
ADA2,BRF2,1,1
ADA2,BRI3,1,1
ADA2,BRWD3,1,1
ADA2,BTNL12P,1,1
ADA2,C10orf88,1,1
ADA2,C11orf68,1,1
ADA2,C12orf76,1,1
ADA2,C16orf46,1,1
ADA2,C16orf46-DT,1,1
ADA2,C17orf75,1,1
ADA2,C18orf21,1,1
ADA2,C21orf91,1,1
ADA2,C2CD2L,1,1
ADA2,C3orf38,1,1
ADA2,C8orf33,1,1
ADA2,CABLES2,1,1
ADA2,CACNA1A,1,1
ADA2,CACNG2,1,1
ADA2,CACNG2-DT,1,1
ADA2,CACNG8,1,1
ADA2,CAPNS1,1,1
ADA2,CASKIN2,1,1
ADA2,CCAR2,1,1
ADA2,CCDC106,1,1
ADA2,CCDC159,1,1
ADA2,CCDC38,1,1
ADA2,CCDC57,1,1
ADA2,CCDC97,1,1
ADA2,CCKBR,1,1
ADA2,CCNC,1,1
ADA2,CCT4,1,1
ADA2,CDC123,1,1
ADA2,CDC16,1,1
ADA2,CDK5RAP1,1,1
ADA2,CDK5RAP3,1,1
ADA2,CEACAM19,1,1
ADA2,CEBPA,1,1
ADA2,CEBPA-DT,1,1
ADA2,CELF4,1,1
ADA2,CELF5,1,1
ADA2,CENPP,1,1
ADA2,CERNA3,1,1
ADA2,CFAP276,1,1
ADA2,CFAP298,1,1
ADA2,CFAP298-TCP10L,1,1
ADA2,CGGBP1,1,1
ADA2,CHAF1A,1,1
ADA2,CHCHD2,1,1
